VIDEO_ID	VIEWS	RATE	RATINGS	COMMENTS
SZN1ZIHaSEQ	263954	3.43	610	531
1l66lVMNvSM	194519	2.38	378	138
ZgwWgl-jYKU	179880	3.76	225	297
Sx9Bi3C4rs8	569383	2.85	1477	3322
9EqDhVmPNFs	205872	4.18	3991	2652
CQKNDDJvZmI	191134	2.36	174	131
Mg6G_Hcdz6g	230568	3.54	284	243
JBrHYUZ27q4	76887	4.83	495	517
RRxFjf40xbI	94576	2.69	675	546
KFd4U3qP69A	65777	2.87	15	11
vjLuoM6PIUE	59717	4.85	405	240
rXzDHrQh2GQ
Yuh4GDx9f84	33085	3.29	31	34
a8Mx_x8g7y0	92619	4.23	263	824
xdXEine81DE	60727	4.26	466	148
wXzHZoyEA-k	55880	3.08	12	3
fPbzkEA2q9E
LdLOcyX29LA	41232	2.21	39	15
gOprCxBF_Kg
CRYQcIxFhf4	24490	4.62	34	13
5hm7XxcMZFU	32043	4.19	85	53
1fRPpRpTis4	26125	3.37	49	84
oHtRD8nkENI	23309	4.72	46	18
cl_0uqkxoFE	20483	4.45	106	60
2dDAySUywko	27287	4.51	82	0
y05er2lEEXc	23143	4.86	133	91
y19_IgmiGDI	25833	4.62	106	72
Zk0lMR0ULO4	15198	2.72	29	6
gANtV_Zt0pA	20886	4.61	54	74
uGVRuOg7p6g	18036	4.78	27	4
cjq3KgReFfY	17361	4.94	17	1
5ByU_lU_p14	191	0	0	0
Rx1t0ci1u8s	1374	2.56	9	0
y0595UEs3aM	4100	4.88	8	8
rKmxGpkTHmM	4777	3.3	23	19
58vC2bTiTLA	5533	2.96	23	28
NaExYKXfOGk	20699	3.18	57	75
d3rdTZUdxXI	21444	3.44	244	542
kqMhXo0GhUc	1991	3.18	11	6
