VIDEO_ID	VIEWS	RATE	RATINGS	COMMENTS
SZN1ZIHaSEQ	263954	3.43	610	531
1l66lVMNvSM	194519	2.38	378	138
ZgwWgl-jYKU	179880	3.76	225	297
Sx9Bi3C4rs8	569383	2.85	1477	3322
9EqDhVmPNFs	205872	4.18	3991	2652
CQKNDDJvZmI	191134	2.36	174	131
Mg6G_Hcdz6g	230568	3.54	284	243
JBrHYUZ27q4	76887	4.83	495	517
RRxFjf40xbI	94576	2.69	675	546
KFd4U3qP69A	65777	2.87	15	11
vjLuoM6PIUE	59717	4.85	405	240
rXzDHrQh2GQ
Yuh4GDx9f84	33085	3.29	31	34
a8Mx_x8g7y0	92619	4.23	263	824
xdXEine81DE	60727	4.26	466	148
wXzHZoyEA-k	55880	3.08	12	3
fPbzkEA2q9E
LdLOcyX29LA	41232	2.21	39	15
gOprCxBF_Kg
CRYQcIxFhf4	24490	4.62	34	13
5hm7XxcMZFU	32043	4.19	85	53
1fRPpRpTis4	26125	3.37	49	84
oHtRD8nkENI	23309	4.72	46	18
cl_0uqkxoFE	20483	4.45	106	60
2dDAySUywko	27287	4.51	82	0
y05er2lEEXc	23143	4.86	133	91
y19_IgmiGDI	25833	4.62	106	72
Zk0lMR0ULO4	15198	2.72	29	6
gANtV_Zt0pA	20886	4.61	54	74
uGVRuOg7p6g	18036	4.78	27	4
cjq3KgReFfY	17361	4.94	17	1
5ByU_lU_p14	191	0	0	0
Rx1t0ci1u8s	1374	2.56	9	0
y0595UEs3aM	4100	4.88	8	8
rKmxGpkTHmM	4777	3.3	23	19
58vC2bTiTLA	5533	2.96	23	28
NaExYKXfOGk	20699	3.18	57	75
d3rdTZUdxXI	21444	3.44	244	542
kqMhXo0GhUc	1991	3.18	11	6
8QDM7T_tGqs	2004	3.14	28	19
KIz0bDHGPsc	1675	3.6	20	7
E4LKkJwDUqw
HOqLvpGNaCA	1204	3.4	15	9
giDzWYHi0cQ	201	5	1	2
b7Hp7kmzFho	1065	3.57	14	6
_smHEr_O4S4	534	2.14	7	1
814yol0yUZY	3311	3.44	18	8
LU502-MNtsE	29925	2.47	163	139
3iu6yUGc1lM	221	5	2	2
eCry92T2gzw	1892	4.48	108	75
mJqn1RQ0bbI	541	2.33	6	7
t-Dnz6njjuE	1297	3.3	10	24
v-wuZuNWbF4	7795	2.63	100	71
vvg5AHgQTtE	19224	4.07	27	20
unBXluuefRU	101091	4.64	226	70
go3sqMxDL08	13516	3.77	13	36
Tx1jROal1TI	64395	4.11	174	90
x2foLklqOk0	15847	4.87	150	113
51tcad0vE3w	13139	2.86	14	5
huKeNWggSPA	24784	4.38	37	68
hFl7VwWsQEo	16908	3.45	120	99
fGvtpgm12Rg	13879	4.57	21	10
yLWfACJAKVs	64406	2.5	291	546
n3eZyQ2QBoQ	15920	2.91	43	32
y60ZPKm441U	17892	3.67	6	7
SV70VaGehho	17691	4.81	27	5
k5IoQL8LNCM	41149	3.58	19	7
h0-sl315b5Y	41591	3.97	417	654
zz8pryU9GMc	56690	4.55	155	161
cNQwL-NL-AU	49297	4.56	25	9
wf0J9JusMGk	22528	4.14	92	87
0DcBn8bF31Y	13958	4.07	15	20
85-iLAL1CxQ	15269	4.98	135	76
zaDIeXEJPyo	21416	4.75	150	127
CAWLsCInuYQ	62632	4.17	611	121
puL311BavJ4
l8dv9AMYczA	25279	4.49	37	38
Jw4VT5qiZvc	228460	2.34	1044	1214
eCPdoz2cFF0	16340	5	21	5
vNh_8WeDpk0	16728	4.86	29	1
yBMuFR54MDU	25977	4.72	83	86
3HsmNxciJYw	66059	4.24	630	43
IFhqs1IpGi4	12172	4.62	56	44
fPk2mRcFDW0	11002	4.45	83	27
VT-e7RBB1-I	35416	4.66	482	44
Wg5kec1rFYo	28420	3.46	13	26
oq80-RmuU2w	13490	4.8	50	8
52AmcnVhii8	11737	4.92	123	65
iWuJRaONckU	16349	3.33	12	25
Ki64eRX6_Vk
VMG-QJAJZGM	33062	4.61	685	165
3El3VtHA7Ow	10533	4	4	0
WnOnzY-on60	14404	4.79	39	20
lMGVJcLRb8M	15569	4.5	8	1
-rE3zAPnU8M	25959	3	9	2
R38akudgGsI	13587	4	13	11
j9JQaNyJ76s	106490	4.84	58	36
3nJ6BhhTuMI	106787	4.55	11	12
x5VdYqd6CdA	138514	4.6	169	120
MlNDpJVnzbU	86748	4.44	41	36
sUVd0lsjLHY	96299	4.82	134	54
TLr-1bS85BI	11493	4.61	345	261
7qOhAojLJHc	11146	4.88	279	274
vbZVXmOjABs	6406	4.6	364	142
EhwRecP_wB0	5640	4.74	305	169
LThmT86KN2c	6705	4.62	578	381
tuwii2-C8Q4	8276	4.76	240	523
